iter	RMSE
0	26.49880984
1	25.54524178
2	24.65743522
3	23.78702983
4	22.98040827
5	22.17023269
6	21.3797018
7	20.67097257
8	19.98381164
9	19.32313595
10	18.69149893
11	18.07682848
12	17.4422408
13	16.85825907
14	16.28624606
15	15.73110646
16	15.19526052
17	14.66738311
18	14.14525811
19	13.73203285
20	13.26658207
21	12.81359045
22	12.39169915
23	11.96276452
24	11.58435404
25	11.22450889
26	10.86605903
27	10.49081155
28	10.14191098
29	9.821857366
30	9.500611967
31	9.183580697
32	8.884873889
33	8.606379002
34	8.322570687
35	8.056408516
36	7.802423669
37	7.557267876
38	7.320464672
39	7.087418391
40	6.87203479
41	6.651716603
42	6.460328418
43	6.259464562
44	6.077551676
45	5.874560134
46	5.683432861
47	5.508364302
48	5.338511436
49	5.183158108
50	5.02020891
51	4.865020492
52	4.709095115
53	4.561580601
54	4.418474923
55	4.280713085
56	4.153556253
57	4.048721421
58	3.927493686
59	3.807287375
60	3.709602385
61	3.593629454
62	3.504734578
63	3.397129384
64	3.294768316
65	3.197528476
66	3.100632447
67	3.010960737
68	2.921617564
69	2.846867851
70	2.766073477
71	2.6999334
72	2.631867494
73	2.560804514
74	2.493075948
75	2.428552768
76	2.359472961
77	2.299120769
78	2.240600933
79	2.182092654
80	2.121782283
81	2.068128104
82	2.016902293
83	1.969470143
84	1.921218907
85	1.871014799
86	1.826486098
87	1.789495745
88	1.749827697
89	1.707204573
90	1.669396519
91	1.636970269
92	1.601330709
93	1.569587213
94	1.536492481
95	1.506620669
96	1.477168807
97	1.447532864
98	1.415498054
99	1.386856294
100	1.36402728
101	1.338030349
102	1.314829992
103	1.291658428
104	1.271241903
105	1.253964426
106	1.234771249
107	1.21453149
108	1.19541827
109	1.175358467
110	1.15515545
111	1.138554383
112	1.123814922
113	1.109054824
114	1.091571306
115	1.076100953
116	1.059297988
117	1.045664129
118	1.032793383
119	1.020353188
120	1.0041276
121	0.9930083825
122	0.9822533468
123	0.9683554191
124	0.9573675706
125	0.947297165
126	0.9362333501
127	0.9257738797
128	0.91764924
129	0.9089776334
130	0.8984316828
131	0.8907412038
132	0.8845828374
133	0.8763127178
134	0.8720005203
135	0.8614896844
136	0.8558319119
137	0.8482510909
138	0.8406608199
139	0.8352253527
140	0.8289735967
141	0.8221221144
142	0.8152771157
143	0.8111657941
144	0.8036383204
145	0.7981999603
146	0.790971242
147	0.7869665598
148	0.7819870865
149	0.7780404945
150	0.7751639147
151	0.7703518271
152	0.765277175
153	0.7610128436
154	0.7566807582
155	0.7519621902
156	0.7478176744
157	0.7436410509
158	0.7394477473
159	0.7361021456
160	0.7325330336
161	0.7293205958
162	0.7255255586
163	0.7227139382
164	0.7202587532
165	0.7150858441
166	0.7129355853
167	0.7114810282
168	0.7073539148
169	0.7025089446
170	0.6984578783
171	0.6961353889
172	0.6910795823
173	0.6877591872
174	0.6839949119
175	0.6796667977
176	0.6767690232
177	0.6729289127
178	0.6705468808
179	0.6672963422
180	0.6648571171
181	0.6632039888
182	0.659431413
183	0.6575910253
184	0.654957515
185	0.652008369
186	0.6501392702
187	0.6479905608
188	0.6455747944
189	0.6432397403
190	0.6408417339
191	0.6388187525
192	0.6369795588
193	0.6345506214
194	0.6309260313
195	0.6267080435
196	0.6247167735
197	0.6236171211
198	0.6221985391
199	0.6204503867
200	0.6175085154
201	0.6137339723
202	0.6116393731
203	0.6102859102
204	0.6063153214
205	0.6054175088
206	0.6025891832
207	0.6002774698
208	0.5988717082
209	0.5964064396
210	0.5940527784
211	0.5904922445
212	0.5888846236
213	0.5880215765
214	0.5856014004
215	0.5833654015
216	0.5818914339
217	0.5789541346
