iter	RMSE
0	25.82482665
1	24.77164803
2	23.77885485
3	22.8267481
4	21.93797052
5	21.09717451
6	20.28135486
7	19.5061072
8	18.76140583
9	18.02314
10	17.30837362
11	16.66618413
12	16.02831729
13	15.40481586
14	14.8163305
15	14.23180326
16	13.65619189
17	13.14976597
18	12.64612488
19	12.16608195
20	11.69915854
21	11.22155787
22	10.78334319
23	10.36545859
24	9.961486129
25	9.596167271
26	9.223952901
27	8.886344328
28	8.559257866
29	8.213676507
30	7.919064978
31	7.621584895
32	7.321742781
33	7.044787214
34	6.801464106
35	6.546116198
36	6.303098101
37	6.073987502
38	5.839081614
39	5.616752433
40	5.415893607
41	5.234000183
42	5.047020594
43	4.862435049
44	4.683700505
45	4.512731451
46	4.346527297
47	4.187523335
48	4.038054924
49	3.890547652
50	3.746715952
51	3.617439799
52	3.492070821
53	3.372756028
54	3.249929539
55	3.136237653
56	3.030336147
57	2.924617049
58	2.820780067
59	2.722532129
60	2.636049763
61	2.550629072
62	2.471268088
63	2.38796862
64	2.310181594
65	2.235879303
66	2.166175153
67	2.100789395
68	2.038984052
69	1.987005729
70	1.932947763
71	1.876976929
72	1.825882829
73	1.785712602
74	1.735419138
75	1.692402129
76	1.644224592
77	1.59751353
78	1.556419398
79	1.516641017
80	1.477839503
81	1.439361376
82	1.401919232
83	1.369634665
84	1.340473161
85	1.314057158
86	1.285904521
87	1.260175844
88	1.233015301
89	1.208123984
90	1.190614085
91	1.167716634
92	1.147070355
93	1.123188346
94	1.10695918
95	1.087864134
96	1.071558378
97	1.053374519
98	1.037025804
99	1.022634681
100	1.001972616
101	0.9885222923
102	0.9717510747
103	0.9585588621
104	0.9448318105
105	0.9325693244
106	0.9198317206
107	0.9084285887
108	0.8951077079
109	0.8851309938
110	0.8733399464
111	0.8651627156
112	0.853464838
113	0.8425583644
114	0.8351984912
115	0.8289981827
116	0.8202955087
117	0.8114168537
118	0.8049834291
119	0.7967616624
120	0.7896282745
121	0.7795791116
122	0.7739454152
123	0.7639054454
124	0.7547654916
125	0.7472432024
126	0.7429060615
127	0.7379862602
128	0.732432549
129	0.7270916586
130	0.7231855073
131	0.716348711
132	0.7099763285
133	0.7038477769
134	0.6984822432
135	0.6931674278
136	0.6880148794
137	0.6819059062
138	0.6773846528
139	0.6744539081
140	0.6713536197
141	0.6671889863
142	0.663735253
143	0.6617714692
144	0.6554807988
145	0.6517049621
146	0.64650175
147	0.6426717364
148	0.6372733401
149	0.635042385
150	0.633095317
151	0.6287935764
152	0.6260411309
153	0.6206617642
154	0.6180728608
155	0.6154503967
156	0.6142038843
157	0.6108968116
158	0.6073912238
159	0.6023121647
160	0.5997221922
161	0.5977607936
162	0.5953797218
163	0.5940650396
164	0.5925395197
165	0.5908267556
166	0.5861880902
167	0.5826589385
168	0.5786743776
169	0.5743194947
170	0.5709724903
171	0.5665124208
172	0.5646655159
173	0.5607697567
174	0.5565269448
175	0.5544313236
176	0.5517973065
177	0.5498290878
178	0.5464323846
179	0.5433485218
180	0.5416458891
181	0.5388830165
182	0.5373367928
183	0.5366122994
184	0.5354059752
185	0.5334577539
186	0.5296565948
187	0.5272366442
188	0.5250952022
189	0.5224584932
190	0.5211139041
191	0.5196997172
192	0.5161722111
193	0.5137617753
194	0.5115078622
195	0.5105884331
196	0.5086194565
197	0.5073594526
198	0.506365483
199	0.5051104958
200	0.5029966614
201	0.5004700093
202	0.4979304794
203	0.4962755452
204	0.4953684513
205	0.4944249438
206	0.4935232193
207	0.4919961674
208	0.4892688093
209	0.4873840749
210	0.4857347151
211	0.4845727216
212	0.4830419348
213	0.4816447225
214	0.479914149
215	0.4791010336
216	0.4779800845
217	0.4752292734
218	0.4743958379
219	0.4717080055
220	0.4700258942
221	0.4676235418
222	0.4653763081
223	0.4640390368
224	0.4629796604
225	0.4620193842
226	0.4612582001
227	0.4600660339
228	0.4594504527
229	0.4587360879
230	0.4567827627
231	0.4546931881
232	0.45288963
233	0.4518041481
234	0.4500431316
235	0.4490335458
236	0.4480929675
237	0.4471660605
238	0.4462216687
239	0.4448128711
240	0.4436603184
241	0.4421672705
242	0.4406731024
243	0.4399152474
244	0.4391313025
245	0.4373847346
246	0.4357578899
247	0.4347521772
248	0.4338028395
249	0.4334159777
250	0.432852135
251	0.4313816152
252	0.4307742569
253	0.4296784502
254	0.4292202413
255	0.4285251145
256	0.4275147715
257	0.4267811113
258	0.4255330485
259	0.424503979
260	0.4228880192
261	0.4224146844
262	0.4216107196
263	0.4212012977
264	0.4197453656
265	0.4187418139
266	0.41833186
267	0.4172784646
268	0.4159180843
269	0.4145204585
270	0.4139456707
271	0.4126215694
272	0.4119165508
273	0.4113524515
274	0.4109521806
275	0.4095431872
276	0.408572169
277	0.4075858442
278	0.4068041871
279	0.4062111204
280	0.4050198813
281	0.4043441658
282	0.4036343027
283	0.4029014528
284	0.4025473301
285	0.401548029
286	0.4003881468
287	0.4000058269
288	0.3988776835
