iter	Passed	Remaining
0	120	120682
1	123	61651
2	126	41922
3	128	32032
4	131	26085
5	133	22132
6	136	19297
7	138	17190
8	141	15612
9	144	14314
10	147	13278
11	150	12431
12	153	11683
13	156	11028
14	160	10521
15	164	10120
16	168	9720
17	170	9298
18	173	8946
19	176	8642
20	180	8401
21	184	8198
22	188	8001
23	192	7825
24	196	7660
25	201	7540
26	205	7393
27	209	7270
28	213	7145
29	217	7042
30	221	6927
31	225	6823
32	229	6724
33	233	6638
34	236	6531
35	239	6423
36	258	6732
37	262	6650
38	272	6708
39	276	6629
40	280	6554
41	284	6487
42	287	6403
43	292	6346
44	295	6268
45	298	6186
46	304	6168
47	308	6116
48	311	6041
49	314	5976
50	317	5914
51	321	5866
52	325	5815
53	328	5760
54	332	5713
55	336	5678
56	339	5620
57	346	5624
58	349	5579
59	353	5538
60	356	5491
61	360	5447
62	363	5413
63	369	5405
64	373	5371
65	376	5333
66	380	5293
67	384	5265
68	387	5225
69	390	5184
70	393	5152
71	398	5133
72	402	5107
73	406	5081
74	409	5045
75	413	5021
76	416	4994
77	419	4957
78	422	4926
79	427	4916
80	431	4895
81	434	4867
82	438	4839
83	442	4822
84	445	4799
85	449	4779
86	452	4753
87	457	4736
88	460	4714
89	463	4684
90	466	4660
91	470	4642
92	473	4620
93	477	4599
94	479	4569
95	482	4547
96	487	4535
97	490	4514
98	493	4491
99	496	4472
100	500	4454
101	503	4431
102	506	4408
103	509	4388
104	512	4371
105	516	4352
106	519	4334
107	522	4313
108	526	4303
109	530	4289
110	533	4272
111	536	4251
112	540	4239
113	543	4225
114	546	4207
115	549	4187
116	552	4168
117	556	4158
118	559	4141
119	562	4125
120	565	4108
121	569	4095
122	572	4085
123	575	4068
124	578	4051
125	582	4043
126	593	4077
127	596	4063
128	600	4057
129	606	4055
130	609	4044
131	612	4029
132	616	4015
133	619	4004
134	623	3994
135	626	3982
136	629	3967
137	633	3958
138	637	3946
139	640	3931
140	643	3918
141	647	3914
142	651	3901
143	654	3891
144	657	3877
145	661	3867
146	664	3857
147	669	3851
148	672	3840
149	675	3830
150	679	3822
151	684	3817
152	687	3805
153	690	3792
154	694	3786
155	697	3775
156	701	3764
157	704	3756
158	709	3752
159	713	3745
160	716	3734
161	719	3723
162	723	3714
163	726	3705
164	730	3695
165	733	3683
166	736	3673
167	740	3665
168	743	3655
169	746	3643
170	749	3634
171	753	3627
172	757	3620
173	760	3611
174	764	3602
175	768	3598
176	772	3591
177	775	3580
178	778	3571
179	781	3560
180	785	3555
181	789	3546
182	792	3539
183	795	3529
184	799	3520
185	803	3514
186	806	3508
187	811	3503
188	814	3494
189	817	3486
190	821	3478
191	824	3470
192	827	3459
193	830	3452
194	833	3440
195	835	3428
196	838	3417
197	841	3407
198	844	3400
199	847	3390
200	850	3379
201	853	3370
202	856	3360
203	858	3351
204	861	3341
205	864	3332
206	867	3322
207	870	3313
208	873	3306
209	876	3298
210	879	3288
211	881	3277
212	885	3270
213	888	3262
214	890	3252
215	893	3242
216	896	3234
217	899	3226
218	902	3218
219	905	3209
220	907	3200
221	911	3193
222	914	3186
223	917	3177
224	919	3167
225	922	3159
226	925	3152
227	929	3147
228	931	3137
229	934	3129
230	937	3121
231	941	3115
232	944	3108
233	947	3100
234	950	3093
235	953	3087
236	956	3080
237	959	3072
238	962	3065
239	966	3061
240	970	3056
241	973	3048
242	976	3040
243	978	3033
244	981	3026
245	984	3018
246	987	3011
247	990	3004
248	994	2998
249	997	2993
250	1000	2986
251	1003	2979
252	1007	2973
253	1010	2968
254	1013	2960
255	1015	2952
256	1019	2946
257	1022	2939
258	1025	2934
259	1028	2927
260	1031	2921
261	1034	2914
262	1038	2908
263	1040	2901
264	1043	2893
265	1046	2887
266	1049	2880
267	1052	2875
268	1055	2869
269	1058	2862
270	1061	2856
271	1064	2850
272	1068	2844
273	1071	2837
274	1074	2831
275	1076	2824
276	1079	2818
277	1082	2810
278	1085	2804
279	1088	2798
280	1092	2795
281	1095	2788
282	1098	2782
283	1101	2777
284	1104	2771
285	1107	2764
286	1110	2757
287	1113	2751
288	1116	2746
289	1119	2740
290	1122	2734
291	1125	2729
292	1128	2722
293	1131	2717
294	1134	2711
295	1137	2705
296	1140	2699
297	1143	2694
298	1147	2689
299	1150	2683
300	1153	2677
301	1156	2672
302	1160	2668
303	1163	2662
304	1165	2656
305	1169	2652
306	1172	2647
307	1175	2641
308	1178	2635
309	1181	2630
310	1185	2625
311	1188	2621
312	1191	2616
313	1194	2610
314	1197	2605
315	1201	2600
316	1204	2594
317	1207	2589
318	1210	2585
319	1214	2580
320	1217	2574
321	1219	2568
322	1222	2563
323	1226	2559
324	1229	2552
325	1231	2546
326	1234	2540
327	1237	2535
328	1240	2529
329	1243	2524
330	1245	2518
331	1248	2512
